order code,active date,amt,price,Customer,market,vertical
ORD419194398,2022-06-11,97.8188274155109,8.7434226942236,CC1079214,US,Logistic
ORD443547078,2023-09-29,44.5576674672555,8.87564950593183,CC1079214,US,Logistic
ORD765352552,2023-04-21,37.2519918184933,8.97785830006411,CC1079214,US,Logistic
ORD679294529,2022-05-07,62.9373367288989,8.70922984423935,CC1079214,US,Logistic
ORD976709586,2022-10-17,36.204871691085,8.96951234958215,CC1079214,US,Logistic
ORD825318861,2022-11-25,57.4391709437533,8.74367611975304,CC1079214,US,Logistic
ORD799373042,2022-07-22,75.6231165221764,8.90923916815931,CC1079214,US,Logistic
ORD245882034,2023-12-29,61.5192436283995,9.25275369308076,CC1079214,US,Logistic
ORD042152860,2023-10-16,97.7848679071788,9.20658451059271,CC1079214,US,Logistic
ORD835716565,2022-06-12,84.3194742029445,8.84236105100083,CC1079214,US,Logistic
ORD088413373,2022-07-01,43.0961672625315,8.91577495798697,CC1079214,US,Logistic
ORD470184212,2022-07-09,33.8504262843434,8.74191994012794,CC1079214,US,Logistic
ORD161897830,2023-01-23,86.7242204740706,9.27266923829305,CC1079214,US,Logistic
ORD301563436,2022-06-05,49.1357440659569,9.02249360514144,CC1079214,US,Logistic
ORD230867891,2022-09-20,27.7392987453206,8.84548410609877,CC1079214,US,Logistic
ORD139518465,2023-08-29,84.1111014622058,8.86079861494917,CC1079214,US,Logistic
ORD645234019,2023-01-03,38.6737219831272,8.96228956875166,CC1079214,US,Logistic
ORD698595208,2022-01-19,67.034634430001,8.92846931079031,CC1079214,US,Logistic
ORD216577976,2023-12-11,63.1927226746709,8.99040386781759,CC1079214,US,Logistic
ORD550781406,2022-10-25,72.0380417155882,8.93724001163577,CC1079214,US,Logistic
ORD873631979,2022-01-29,34.3036910844857,8.80187950886633,CC1079214,US,Logistic
ORD629060044,2022-08-11,74.8449566971644,8.9665777083223,CC1079214,US,Logistic
ORD935913804,2022-04-28,68.1353075093762,8.64736984258301,CC1079214,US,Logistic
ORD862674565,2022-10-28,17.5531686041725,9.02287588771372,CC1079214,US,Logistic
ORD630004111,2022-11-05,42.2349604647039,9.04087003298503,CC1079214,US,Logistic
ORD429705259,2023-04-16,25.0597034075209,9.00859141459094,CC1079214,US,Logistic
ORD861497775,2023-10-23,72.0590956384592,8.99390215117054,CC1079214,US,Logistic
ORD368531436,2023-02-05,62.8047553972052,9.03721897791412,CC1079214,US,Logistic
ORD188776486,2023-08-03,7.81688968122983,9.18686085746083,CC1079214,US,Logistic
ORD452612201,2022-04-06,48.0918734516451,8.76983837181927,CC1079214,US,Logistic
ORD560944947,2022-06-02,29.2067992690642,8.81048891697661,CC1079214,US,Logistic
ORD065535641,2023-05-05,40.8069214014971,8.97967167059593,CC1079214,US,Logistic
ORD960013677,2022-02-28,44.322365106891,8.96335456999051,CC1079214,US,Logistic
ORD659428732,2023-11-22,12.6672948608924,9.29639419479602,CC1079214,US,Logistic
ORD710108209,2023-03-29,54.8332671763916,8.98912719866334,CC1079214,US,Logistic
ORD045532775,2023-05-23,75.0608907344447,9.19534397829157,CC1079214,US,Logistic
ORD009167674,2023-10-21,26.8985698094548,9.27463437807274,CC1079214,US,Logistic
ORD457895134,2023-12-10,23.9034829750234,9.11055303540844,CC1079214,US,Logistic
ORD810850231,2023-06-06,19.1316623024845,8.93874668642242,CC1079214,US,Logistic
ORD754451081,2023-07-04,16.7458025149566,9.09773850774284,CC1079214,US,Logistic
ORD089090238,2023-02-14,11.1681583119228,9.1481782985601,CC1079214,US,Logistic
ORD890935412,2023-05-02,8.08641718536655,8.88654197010051,CC1079214,US,Logistic
